Stock,Sector,Strategy,BuyPrice,SellPrice,Quantity,HoldingHours
TCS,IT,Intraday,3500,3680,10,2
INFY,IT,Swing,1400,1360,15,12
RELIANCE,Energy,Intraday,2500,2580,20,4
HDFC,Banking,Swing,1600,1550,10,20
ICICIBANK,Banking,Intraday,1100,1145,25,3
SBIN,Banking,Swing,820,790,30,48
WIPRO,IT,Intraday,520,550,40,1
HCLTECH,IT,Swing,1450,1410,12,18
LT,Infrastructure,Intraday,3600,3720,8,5
AXISBANK,Banking,Swing,1180,1260,18,24
MARUTI,Automobile,Intraday,12500,12350,5,4
TATAMOTORS,Automobile,Swing,980,1090,25,60
BAJFINANCE,Finance,Intraday,7000,6900,6,7
SUNPHARMA,Pharma,Swing,1700,1820,15,30
ADANIPORTS,Logistics,Intraday,1450,1400,12,6
ITC,FMCG,Swing,450,495,60,72
NESTLEIND,FMCG,Intraday,2450,2410,10,3
BHARTIARTL,Telecom,Swing,1850,1940,15,15
ULTRACEMCO,Cement,Swing,11800,12100,4,40
CIPLA,Pharma,Intraday,1450,1490,20,5
